Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
6.83,2.05,0.97,1.906,K5III,13.388769,0
2.71,2.98,0.55,1.616,K3Ib,10.081081,0
4.76,10.91,0.88,1.568,M0III,14.949123,0
8.1,3.28,0.84,0.154,B7/B8III,15.67937,0
6.48,7.62,0.55,0.963,G4III:,15.889774,0
7.41,4.34,1.23,0.118,A1IV/V,15.597448,1
8.39,2.69,1.26,0.716,G8/K0III+..,15.538762,0
9.72,0.57,1.52,1.086,G8III,13.499374,0
8.48,3.78,1.19,1.3,K2/K3III,16.367458,0
9.15,2.17,1.42,1.059,G8III,15.832298,0
4.64,12.68,0.87,0.955,G8/K0III,15.155596,0
8.35,-0.46,1.32,2.579,C5II,11.66379,0
6.63,5.48,0.54,0.879,G8III,15.323903,0
7.82,0.87,1.39,0.055,A0V,12.517597,1
8.32,1.66,1.11,1.442,K2/K3III:,14.42054,0
8.61,4.28,1.1,1.057,K0III/IV,16.76722,1
7.75,6.85,0.65,1.2,K2III,16.928452,0
8.06,7.0,1.06,0.314,F0/F2IV/V,17.285492,1
7.5,3.82,1.22,1.601,M2/M3III,15.410317,0
8.75,3.61,1.13,1.48,K3/K4III,16.537537,0
7.42,3.7,0.89,1.132,K1III,15.261009,0
8.94,9.51,1.37,0.45,F3/F5V,18.830902,1
9.16,5.89,1.26,0.5,F6IV/V,18.010576,1
8.77,4.2,1.11,0.401,F3IV,16.886246,1
8.96,2.29,0.85,0.151,B9:Vn...,15.759178,1
8.4,24.18,0.84,0.693,G3V,20.31728,1
8.86,-1.18,1.16,1.032,K0III,14.21941,0
8.07,3.34,0.96,0.955,G8III,15.688732,0
7.02,4.23,0.67,-0.08,B9II/III,15.151703,0
8.86,1.97,1.24,1.082,K0III,15.332331,0
7.87,1.07,0.78,0.043,B9.5V,13.016918,1
7.11,4.31,1.22,1.642,M2III,15.282387,0
7.86,3.91,0.73,-0.05,B8/B9V,15.820885,1
8.14,4.55,1.31,1.05,K0III,16.430058,0
8.08,1.2,0.69,1.501,M4III,13.475906,0
9.03,20.09,1.62,0.836,K0V,20.544899,1
8.63,3.07,1.32,1.102,G8III,16.065693,0
7.88,3.39,1.52,0.581,F5/F6IV,15.530999,1
5.75,15.98,0.75,0.27,F0Vn,16.767883,1
8.54,0.65,1.14,1.021,G8III,12.604567,0
8.56,8.52,1.02,0.48,F5V,18.212198,1
8.44,9.13,1.12,0.289,F0V,18.242353,1
8.66,2.33,1.24,-0.007,B9IV,15.496779,1
9.14,3.64,1.77,1.038,K0/K1IV,16.945507,1
8.48,5.71,1.07,0.41,F3V,17.26318,1
8.89,8.49,1.9,0.756,G1V,18.534538,1
7.46,2.55,0.73,0.043,A1V,14.492701,1
8.15,7.76,1.2,1.272,K0III,17.599308,0
7.48,5.86,0.94,0.328,A7III,16.319489,0
10.93,18.51,2.35,1.058,G8V,22.267033,1
10.11,-0.07,1.52,0.32,B5II,9.335489,0
7.0,1.2,0.93,-0.018,B9III,12.395906,0
6.37,2.25,0.79,-0.049,B8II/III,13.130913,0
8.19,0.11,1.01,1.3,K1IIICN...,8.396963,0
9.34,7.98,1.34,0.367,F2V,18.850014,1
7.71,5.53,0.87,-0.017,A0V,16.423626,1
9.39,3.2,1.23,0.531,F5V,16.91575,1
8.0,5.83,0.68,0.266,A5III/IV,16.828342,1
9.18,22.25,0.86,0.879,K1IV/V,20.91665,1
7.3,1.79,1.08,1.519,K3III,13.564265,0
7.09,0.92,0.65,1.141,G5III,11.908939,0
6.51,38.24,0.85,0.599,G2V,19.422588,1
6.09,7.41,0.8,0.02,A0V,15.439091,1
8.21,3.5,1.25,0.127,A0V,15.930341,1
9.76,7.99,1.41,0.597,G3V,19.272734,1
5.97,6.24,1.03,-0.061,B8V,14.945923,1
8.91,8.3,1.73,0.477,F7:IV:,18.50539,1
7.94,-0.05,1.02,1.063,G5II,6.4348497,0
10.01,1.65,1.09,1.59,K4III,16.09742,0
9.68,-0.07,1.71,0.966,G8III,8.905491,0
8.18,0.49,1.33,1.868,K2III:,11.6309805,0
8.07,3.44,1.03,1.335,K2/K3III,15.752791,0
8.87,0.47,1.82,0.61,B3V:pe,12.23049,1
7.79,10.14,1.05,0.532,F7V,17.82019,1
6.7,12.52,0.82,0.647,G0III,17.188023,0
8.53,0.27,0.74,1.394,K0/K1III,10.686819,0
5.73,8.44,1.29,0.22,A7V+...,15.3617115,1
7.45,5.57,0.97,1.0,G8III,16.179276,0
8.57,1.61,1.16,0.188,A6V,14.604129,1
8.64,5.83,1.2,0.154,A0Vs,17.468344,1
7.83,0.93,0.86,1.696,M1/M2III,12.672415,0
8.5,2.66,1.1,0.888,G6III/IV,15.624409,1
9.66,15.49,1.25,0.783,G8V,20.610258,1
6.71,4.68,0.73,0.05,A2IV,15.06123,1
8.23,-6.21,3.58,1.36,K2II+...,17.195457,0
9.65,17.65,0.94,0.786,G8/K0V:,20.883722,1
6.76,2.58,0.77,1.497,K4III,13.818098,0
8.56,3.97,0.85,1.062,K0III,16.553953,0
6.8,1.54,0.73,1.165,G5Ib-II,12.737604,0
7.12,5.21,0.78,1.2,K2II-III,15.704188,0
9.46,8.96,1.07,0.534,F7/F8V,19.221539,1
8.86,0.46,1.31,1.169,K0III,12.173789,0
5.31,7.09,0.5,1.04,K0/K1II,14.5632305,0
8.6,5.46,1.12,0.4,F2V,17.285963,1
8.94,6.02,1.21,0.756,G5V,17.837982,1
6.97,6.49,0.81,1.423,K4III,16.031223,0
9.81,13.68,1.42,0.685,G6/G8V,20.490429,1
9.85,3.08,3.08,0.623,F3V:,17.292753,1
6.79,0.93,1.11,1.395,G6Ib/II,11.632415,0
8.09,1.64,0.96,1.279,K2III,14.164219,0
5.17,64.69,1.03,0.514,F7IV-V,19.224186,1
8.8,4.29,0.73,1.176,K1IIICN...,16.962288,0
7.78,3.48,1.02,1.234,K2III,15.487896,0
6.94,5.51,0.71,0.9,G8III,15.645758,0
8.94,3.64,1.11,0.524,F2V,16.745506,1
9.5,-1.28,1.3,0.75,B0III,15.03605,0
8.32,0.93,1.43,1.601,K4III,13.162415,0
8.55,11.2,1.82,0.489,F5V,18.796091,1
7.68,2.82,0.91,1.537,K4III,14.931246,0
8.84,4.33,1.24,0.206,A3V,17.02244,1
8.35,2.37,1.09,1.498,K3III,15.223742,0
9.33,5.29,1.54,0.349,F2V,17.947277,1
9.48,-2.74,1.37,0.01,A0III,16.668753,0
5.62,20.2,0.95,0.181,A4V,17.146755,1
8.95,3.69,1.33,1.405,K1III,16.785131,0
8.43,3.23,0.87,1.096,K0III,15.976013,0
8.15,4.87,1.04,0.482,F3/F5IV,16.587645,1
8.93,1.43,1.19,-0.007,B2III,14.70668,0
6.38,1.36,0.79,1.697,K5II/III,12.047695,0
3.82,9.76,0.54,1.613,M0IIIvar,13.767248,0
8.11,1.0,0.82,0.942,G1V,13.11,1
8.71,4.82,1.1,0.2,A7/A8V,17.125237,1
7.54,4.58,0.7,1.223,K2III,15.844328,0
9.27,5.5,1.45,0.528,F6V,17.971813,1
7.74,3.89,0.98,1.092,G8III/IV,15.689748,1
9.03,1.57,1.07,1.421,K3III,15.009499,0
9.1,3.36,1.17,0.375,F0IV/V,16.731697,1
8.03,-0.18,0.93,1.711,M1III,9.306362,0
8.24,8.13,1.04,0.415,F3V,17.790453,1
9.24,-0.36,1.4,0.227,B4III,12.021513,0
6.3,14.39,0.73,0.433,F5III-IV,17.090305,1
9.22,4.93,1.38,0.547,B2Ib,17.684235,0
9.02,3.68,1.21,0.96,G8IV,16.84924,1
7.37,4.83,0.91,0.995,G8III,15.789735,0
7.91,0.86,0.65,1.131,G8III,12.582492,0
4.04,25.98,1.04,0.327,F2II-III,16.113194,0
10.12,4.0,2.22,0.632,F2V,18.1303,1
8.11,4.84,1.0,1.134,K0III,16.534225,0
7.11,4.22,0.59,1.409,K5III,15.236563,0
5.57,12.55,0.62,1.052,K1III,16.06322,0
8.88,1.97,1.18,-0.021,B8/B9IV,15.352331,1
8.15,7.77,2.83,1.096,K1III,17.602104,0
8.89,13.09,1.2,0.636,G2V,19.474697,1
7.12,2.03,0.81,1.722,M2III,13.65748,0
7.94,5.17,0.96,1.031,K0III,16.507452,0
8.12,9.78,3.19,0.612,G1V,18.071693,1
6.81,8.31,0.93,1.225,K2III,16.408005,0
7.37,4.46,0.95,0.933,K0III,15.616674,0
6.85,8.21,0.91,1.028,G8III,16.421715,0
8.87,0.81,1.26,1.05,G8III,13.412425,0
7.98,3.8,0.65,1.212,K2/K3III,15.878918,0
6.14,3.07,0.81,1.654,M2III,13.575691,0
8.82,18.57,0.95,0.666,G5V,20.164059,1
6.74,0.48,1.04,0.349,O9IV-V,10.146206,1
8.09,2.87,0.73,1.371,K3III,15.37941,0
8.23,3.26,1.15,0.976,K0III-IV,15.796088,1
5.68,12.84,0.77,0.093,A3V,16.222824,1
7.36,3.33,1.32,1.11,K0III,14.972221,0
5.44,5.15,0.69,-0.062,B8III,13.999037,0
5.18,28.05,0.71,0.324,F5III,17.419664,0
8.36,11.45,0.99,0.569,F8/G0V,18.654026,1
9.21,6.61,1.05,0.571,G1V,18.311008,1
8.71,1.5,1.15,1.661,K5III:,14.590456,0
6.7,11.81,0.76,0.237,A7V+...,17.061249,1
9.28,11.92,3.29,0.737,G8IV,19.66138,1
8.21,3.8,0.79,0.968,G8II,16.108917,0
9.84,-0.47,1.44,1.04,K1III,13.200489,0
8.12,5.72,1.17,0.999,G8III,16.906979,0
5.04,2.63,0.51,1.488,K3III,12.139778,0
5.36,10.2,0.73,0.987,K0III,15.403002,0
7.0,4.18,0.77,-0.016,B9III,15.105881,0
7.4,9.86,0.83,0.159,A3V,17.369385,1
5.4,10.04,0.76,1.12,K1III,15.4086685,0
7.77,4.23,0.97,1.086,K0IIIvar,15.901703,0
9.8,-1.2,2.68,0.256,B0.5Ib,15.195907,0
6.83,4.74,0.76,1.429,K4III,15.208892,0
9.49,5.37,1.39,0.602,F7/F8V,18.139872,1
8.27,6.54,1.15,0.453,F3V,17.347889,1
7.63,2.69,0.76,1.187,K0IIICN...,14.778762,0
12.02,122.53,11.52,1.618,M4V,27.461212,1
8.81,-0.12,1.1,1.216,K1/K2II,9.205907,0
8.34,4.15,1.16,1.17,K2III,16.43024,0
10.62,40.58,1.94,1.439,M2V,23.66156,1
8.18,21.37,1.16,0.567,G1/G2V,19.829021,1
8.59,2.3,1.25,0.391,F0III,15.39864,0
8.23,3.86,0.69,0.983,G8III,16.162937,0
9.33,2.58,1.79,1.912,K5III:,16.388098,0
7.92,3.24,0.85,1.127,K0III,15.472725,0
7.96,12.55,1.12,0.51,F6V,18.45322,1
8.73,1.63,1.39,1.541,K3/K4III,14.790937,0
5.84,7.16,0.87,0.012,B3V,15.114565,1
8.52,0.96,0.72,0.173,B8V,13.431356,1
5.63,12.12,0.83,0.2,A7V,16.047514,1
9.07,3.29,0.93,0.426,A9V,16.65598,1
8.83,3.54,0.85,0.956,G6III,16.575016,0
8.91,7.11,1.28,0.866,G8V,18.169348,1
7.83,4.32,1.0,0.986,G8III/IV,16.00742,1
9.52,0.66,1.37,0.687,F3V,13.61772,1
8.54,1.12,1.16,0.019,A0IV/V,13.786091,1
8.0,6.26,0.93,1.26,K2III,16.982872,0
8.93,6.49,0.96,0.329,F2IV,17.991222,1
8.28,4.16,1.72,0.5,K0III,16.375465,0
8.85,0.11,1.32,1.268,G8III,9.056964,0
6.47,2.86,0.58,-0.097,B6III,13.75183,0
8.11,2.88,0.71,1.209,K0III,15.406962,0
8.56,2.02,1.37,1.931,M0III,15.086758,0
8.9,11.47,1.12,0.663,G3V,19.197817,1
7.34,1.88,1.03,1.487,M2III:,13.71079,0
8.54,1.36,1.27,1.198,K1III,14.207695,0
6.49,1.1,0.68,0.776,A6Iab,11.696963,0
5.42,12.56,0.81,0.888,G8III,15.9149475,0
7.59,6.23,0.61,-0.039,B9V,16.56244,1
8.29,13.67,1.71,0.498,F5V,18.968842,1
5.73,3.42,0.93,1.223,K1III,13.400131,0
8.88,0.08,1.39,0.852,G1IVw...,8.395451,1
5.88,7.74,0.73,1.102,K0III:,15.323705,0
8.13,4.6,0.95,0.991,K0III,16.44379,0
7.93,4.37,0.77,0.964,K0III,16.132408,0
7.39,3.22,0.76,0.013,A0IV,14.929279,1
8.26,1.84,0.96,0.271,A0III/IV,14.584089,1
7.3,2.86,0.95,0.073,B5V,14.581831,1
9.52,1.28,1.07,-0.07,B1Vn,15.05605,1
8.95,1.64,0.91,1.592,M2/M3III,15.0242195,0
7.45,13.04,0.84,0.465,F3V,18.02639,1
5.88,4.85,0.66,-0.134,B4V,14.308708,1
9.95,1.19,1.18,1.072,G0IIIvar,15.327735,0
7.88,0.58,1.78,0.83,G5III/IV,11.69714,1
8.91,-0.02,1.11,0.996,G8/K0III,5.41515,0
8.62,2.07,0.91,-0.043,B8V,15.199852,1
7.64,5.72,1.05,0.868,G8/K0III+..,16.42698,0
10.21,7.05,2.07,0.549,G8V,19.450947,1
7.54,6.93,1.01,1.065,K1III,16.743668,0
5.59,15.35,0.67,0.179,A4IV,16.520542,1
7.87,13.27,0.61,0.5,F6V,18.484356,1
6.74,1.97,0.61,1.139,K3III+A0IV/V,13.212331,1
4.6,8.72,1.34,0.0,A0V,14.302582,1
8.27,33.89,0.79,0.863,K2V,20.920359,1
8.87,-0.11,1.38,2.024,M2Ib,9.076963,0
8.0,6.45,0.7,0.113,A0V,17.047798,1
8.87,2.13,0.79,1.569,M3III,15.511898,0
8.09,3.46,1.13,1.783,K5/M0III,15.78538,0
9.35,-2.42,1.35,-0.004,B8/B9II,16.269077,0
6.45,3.96,0.55,-0.131,B3V,14.438476,1
8.64,0.69,0.8,-0.019,A0IV,12.834246,1
6.15,9.24,1.31,-0.025,B9Vsvar...,15.978359,1
9.79,5.75,1.71,0.739,F3V,18.58834,1
8.72,3.51,1.3,1.331,K2III,16.446537,0
5.07,6.58,0.78,1.079,K0III SB,14.161129,0
8.15,10.5,1.15,0.448,F7V,18.255945,1
7.61,4.29,0.58,-0.015,B9IV/V,15.772287,1
8.44,2.83,0.95,-0.06,B8II,15.698932,0
8.98,7.48,1.16,0.75,G3IV/V,18.349506,1
6.78,2.13,0.83,1.441,K4III + A5:V,13.421898,1
7.1,17.88,0.9,0.5,F5V,18.361837,1
6.6,11.96,0.63,0.475,F2/F3III:,16.988655,0
6.27,17.95,0.8,0.413,F2III,17.540323,0
7.68,13.11,1.05,0.564,G0V,18.268015,1
8.39,6.62,0.8,0.53,F5V,17.49429,1
5.0,1.88,0.66,0.495,F0II,11.37079,0
8.35,18.92,1.06,0.68,G5V,19.734608,1
6.42,1.08,0.99,0.755,A2/A3Iab,11.587119,0
8.76,4.21,1.14,1.012,K0IV,16.88141,1
8.88,4.75,1.44,1.02,G8V,17.26347,1
6.68,3.49,0.78,1.333,K2III,14.394127,0
7.33,3.46,0.9,1.227,G8/K0III,15.02538,0
8.06,4.58,1.23,0.47,F3/F5V,16.364328,1
9.6,-0.06,4.16,0.367,B9.5V,8.490757,1
9.97,-1.0,1.74,0.995,K0III,14.97,0
4.68,6.88,0.82,0.823,G0II,13.867943,0
6.72,30.43,0.78,0.532,F7V,19.13651,1
10.02,4.73,1.66,0.462,F3V,18.394306,1
9.67,4.1,1.57,0.422,F2V,17.73392,1
8.91,8.01,1.22,0.607,G2V,18.428162,1
6.48,3.97,0.54,1.45,K2III,14.473953,0
7.66,3.61,0.65,1.265,K2III,15.447536,0
9.25,16.42,1.63,0.688,G6/G8V,20.326866,1
8.36,2.09,0.88,1.146,G5III,14.9607315,0
7.13,9.47,0.75,0.055,A0V,17.01175,1
7.58,5.27,1.0,1.071,K1III,16.189053,0
9.04,9.78,1.2,0.52,G0V,18.991695,1
8.47,4.55,1.1,1.109,K0III,16.760057,0
5.95,1.91,0.51,-0.152,B2V,12.355167,1
9.39,6.77,1.23,0.9,K0IV/V,18.542942,1
8.68,2.26,0.81,1.288,K1III:,15.450542,0
3.92,20.04,0.65,-0.018,A0V,15.429489,1
7.95,3.91,0.67,1.05,K0III,15.910884,0
8.23,9.76,1.22,0.5,F3V,18.177248,1
7.68,3.35,1.33,0.049,A0V,15.305223,1
8.06,5.89,3.59,0.015,A0III:,16.910576,0
9.4,11.76,1.86,0.795,G5/G6III:,19.752037,0
7.21,4.4,0.66,1.036,K0III,15.427263,0
5.73,26.13,0.63,0.683,G2IIIb,17.815697,0
6.87,2.09,0.61,1.51,K3III,13.470732,0
7.77,1.83,0.67,1.334,K3III,14.082256,0
9.69,4.78,2.24,0.401,A9V,18.08714,1
7.53,22.28,1.04,0.545,F9V,19.269577,1
8.16,3.4,0.84,1.356,K2III/IV,15.817394,1
6.12,18.76,0.78,0.386,F3V,17.486164,1
8.49,2.56,0.79,-0.07,B8/B9IV/V,15.531199,1
7.76,5.06,0.62,0.948,G8III,16.280752,0
8.21,3.89,1.21,1.193,K0IIICN...,16.159748,0
7.02,-0.13,0.97,-0.102,B2Ib/II,7.589717,0
7.8,9.4,0.81,0.369,F2V,17.665638,1
6.74,38.89,0.53,0.667,G5IV-V,19.68919,1
5.57,12.39,0.66,1.16,K2III,16.035357,0
9.65,-0.16,0.97,0.94,G6/G8III/IV,10.670599,1
9.5,5.59,1.5,0.493,G:III/IV+..,18.23706,1
9.1,6.04,1.33,0.405,F2V,18.005184,1
7.23,7.09,0.69,1.17,K1III,16.48323,0
9.0,13.36,1.59,0.592,G1V,19.629032,1
7.3,14.32,0.68,0.418,F5IV/V,18.079716,1
4.92,16.98,0.46,0.14,A4IV,16.069687,1
6.6,20.27,0.91,0.394,F3V,18.13427,1
10.03,4.77,0.99,0.345,F2V,18.422592,1
9.17,3.75,1.1,1.209,K1III,17.040157,0
7.27,2.46,1.04,0.702,F5Ib,14.224676,0
9.02,0.61,1.26,1.504,M3III,12.94665,0
8.33,3.32,1.3,0.962,G8III/IV,15.93569,1
9.54,9.52,1.52,0.683,G5V,19.433186,1
7.18,3.73,0.72,0.125,A2V,15.038544,1
7.41,3.48,0.55,0.112,A2V,15.117896,1
8.76,16.32,0.86,0.727,G5V,19.8236,1
8.27,3.84,1.11,1.087,K0III,16.191658,0
5.97,24.14,0.9,0.354,F4V,17.883686,1
9.16,13.34,1.26,0.739,G8IV/V,19.78578,1
8.76,6.01,0.93,0.512,F5IV,17.654373,1
9.71,4.39,1.61,1.188,G8V,17.922321,1
9.27,10.1,1.25,0.96,G8V,19.291607,1
8.92,11.44,1.11,0.542,F7/F8V,19.21213,1
7.78,14.66,1.83,0.586,G0V,18.61067,1
8.2,3.16,1.02,-0.026,B9III/IV,15.698435,1
7.76,4.54,0.83,0.725,G1II/III,16.04528,0
8.85,4.88,2.08,1.0,F5V,17.292099,1
8.75,3.01,1.05,0.056,A6/A7V:,16.142834,1
7.65,4.38,0.64,0.996,G8III,15.85737,0
9.21,3.83,0.94,0.445,F3V,17.125994,1
8.96,0.64,1.25,1.085,K0III,12.9909,0
9.22,8.77,1.47,0.542,G0/G1V,18.934998,1
6.09,15.57,0.92,0.301,F0Vn,17.051443,1
8.78,0.93,0.9,-0.013,A0V,13.622415,1
8.84,9.21,1.37,0.543,G0V,18.661299,1
8.14,10.29,1.16,0.362,A9V,18.202076,1
7.14,13.64,0.73,0.483,F5V,17.814072,1
8.62,1.36,1.08,0.084,B9IV/V,14.287695,1
4.99,13.67,0.87,1.046,K0IIIvar,15.668842,0
8.44,0.32,1.22,-0.033,B7V,10.96575,1
7.32,1.97,0.95,1.612,M1III,13.792332,0
3.96,2.94,0.6,1.451,K3Ib-II comp,11.301737,0
7.69,7.37,0.71,0.541,F7III,17.027338,0
7.95,2.18,0.66,-0.018,B8V,14.6422825,1
6.48,8.45,0.79,1.03,G8III,16.114285,0
9.14,6.71,0.81,0.362,F0IV,18.273613,1
9.55,6.66,1.61,0.665,G5V,18.66737,1
8.2,4.79,0.77,0.21,A5IV/V,16.601677,1
7.53,6.92,1.08,1.458,K4/K5III,16.73053,0
8.4,1.68,1.18,1.166,K1III/IV,14.5265465,1
9.36,1.47,1.27,0.161,A2V,15.196587,1
6.74,5.93,0.52,1.048,K1II,15.605272,0
8.37,2.37,0.98,0.064,A0III/IV,15.243742,1
9.73,4.23,1.07,0.67,G3IV/V,17.861702,1
9.16,5.82,1.59,0.521,F7V,17.984615,1
8.02,3.36,1.07,1.061,G8III,15.651697,0
8.39,3.93,1.37,1.1,K0III,16.361963,0
6.98,7.24,0.61,1.001,G8III,16.278692,0
9.27,3.72,0.94,1.336,K2III,17.122715,0
9.31,8.13,1.66,0.469,F3/F5V,18.860455,1
9.78,7.05,1.49,0.812,G3/G5V,19.020947,1
9.65,3.07,0.88,0.583,F7V,17.085691,1
5.32,3.12,0.96,-0.08,B3V,12.790773,1
7.83,4.35,0.66,0.933,K0III,16.022446,0
6.75,16.42,0.83,0.518,F5/F6V,17.826866,1
5.86,14.65,1.35,1.01,K0IV,16.68919,1
9.1,3.14,0.8,0.112,A1V,16.584648,1
11.14,4.57,2.76,1.006,G8III,19.43958,0
6.25,3.22,0.58,1.353,K2III,13.78928,0
6.47,4.64,0.57,0.074,B8IV,14.802589,1
8.11,1.88,0.87,0.008,B9/B9.5III,14.480789,0
9.25,13.39,1.16,0.817,G8/K0V,19.883904,1
8.61,1.43,0.97,1.038,G8III,14.38668,0
7.88,11.15,0.68,0.476,F5V,18.116375,1
7.67,4.12,0.63,0.005,B8/B9V,15.744486,1
5.77,10.76,0.87,-0.004,A1V,15.929062,1
9.95,-3.05,1.68,0.266,B1V,17.371498,1
8.9,9.86,0.85,0.957,K0V,18.869385,1
4.47,64.66,0.72,0.364,F3Vwvar,18.523178,1
7.44,1.13,0.56,-0.11,B6V,12.705393,1
4.61,25.38,1.05,1.029,K1III,16.632458,0
6.1,2.91,0.57,-0.1,B6IV,13.419464,1
8.9,18.85,1.01,0.806,K0V,20.276558,1
9.56,4.42,1.4,0.601,G2/G3V,17.787111,1
8.19,7.67,0.98,0.108,A2/A3IV,17.613976,1
8.49,5.08,1.71,0.426,F3V,17.019318,1
8.09,1.39,0.74,1.04,K0III,13.805075,0
8.12,4.61,1.19,1.166,K2IIICN...,16.438503,0
4.57,8.27,1.18,0.227,B2V,14.157528,1
6.88,3.43,1.17,1.62,K5III,14.556471,0
8.76,0.59,1.2,1.155,G8/K0III,12.61426,0
9.34,4.16,1.46,0.569,G2/G3V,17.435467,1
8.64,3.11,1.19,1.086,K1III,16.103802,0
8.18,6.36,0.98,0.97,K0III,17.197285,0
7.58,4.61,0.9,-0.03,B9.5V,15.898504,1
9.08,6.61,1.09,0.411,F2V,18.181007,1
7.82,1.04,1.04,0.31,B9.5Iab,12.905167,0
7.22,2.76,0.77,1.357,K3II,14.424545,0
4.84,9.54,0.94,1.144,K1III,14.737742,0
8.77,14.6,1.44,0.59,G3IV,19.591764,1
8.96,1.29,1.67,1.595,K5III,14.512949,0
7.77,5.0,0.66,0.099,A1V,16.26485,1
6.04,3.15,0.79,1.484,K3III,13.531553,0
8.12,3.13,0.99,1.176,K1III,15.597721,0
8.46,3.74,1.19,0.962,K0III,16.324358,0
7.61,4.63,0.85,-0.026,B9V,15.937904,1
7.44,5.09,0.8,1.103,K1II,15.973589,0
8.08,5.24,1.18,0.389,F2IV/V,16.676657,1
9.95,25.99,1.02,0.963,K3:V:,22.024033,1
5.34,16.47,1.21,0.412,F5IIvar,16.42347,0
8.5,1.8,0.83,0.912,G6II/III,14.776362,0
8.79,0.69,2.36,0.103,A1V,12.984245,1
6.53,0.32,0.69,1.524,K2/K3II,9.05575,0
7.33,4.17,0.63,1.476,K5III,15.43068,0
8.64,1.35,0.78,0.016,B9/B9.5V,14.29167,1
4.69,5.92,0.72,-0.1,B8IV,13.551609,1
8.91,5.82,1.13,0.503,F5V,17.734615,1
9.05,3.96,1.44,1.143,G8III,17.038475,0
5.38,4.1,0.54,1.091,K0III,13.443919,0
6.58,2.83,0.52,-0.159,B9IIIp SrEu+,13.838932,0
8.96,3.29,0.77,1.021,G8III,16.545979,0
10.62,3.71,1.61,0.877,G5III,18.46687,0
9.0,4.49,1.17,0.998,K2:III:,17.26123,0
9.03,2.44,1.24,1.521,M2/M3III,15.966949,0
8.83,2.54,1.02,1.357,K3III,15.854168,0
9.6,4.58,1.4,0.88,G8IV/V,17.904327,1
8.52,11.84,1.17,0.649,K0IV: compSB,18.88676,1
8.91,4.67,1.23,0.508,F5V,17.256584,1
7.78,6.6,0.91,0.125,A1V,16.87772,1
9.64,3.94,1.37,0.305,A3II/IIIm..,17.617481,0
6.47,4.78,0.83,1.426,K3III,14.86714,0
9.29,52.92,1.48,1.318,K4V,22.9081,1
7.71,3.94,0.93,0.025,A0V,15.687481,1
8.15,2.92,0.62,-0.081,B7IV/V,15.476913,1
8.65,3.26,1.2,0.396,F0V,16.216087,1
8.13,3.88,1.14,0.95,G8III/IV,16.074158,1
7.54,9.78,0.82,0.457,F3V,17.491695,1
9.14,5.36,2.37,0.508,F7V,17.785824,1
8.11,5.9,0.88,0.98,K0III,16.96426,0
8.12,2.22,0.79,-0.066,B6III,14.851765,0
9.65,17.17,1.71,0.859,G8/K0V,20.82385,1
8.89,9.38,1.24,0.487,G0Vwe,18.751015,1
6.52,15.02,0.76,0.291,F0V,17.40335,1
5.76,16.04,0.56,0.205,A5V,16.786022,1
7.94,4.68,0.69,1.028,G8III,16.29123,0
7.74,3.81,1.31,1.261,K2III,15.644625,0
9.51,1.74,1.09,-0.07,B8/B9II,15.712746,0
7.28,1.28,0.81,2.015,M2Ia/ab,12.81605,0
6.13,13.6,0.81,0.273,F0V,16.797695,1
5.46,2.08,1.11,-0.176,B1.5V,12.050316,1
8.55,1.1,1.08,0.149,A2IV/V,13.756964,1
9.85,7.39,2.34,0.587,F5/F6V,19.193222,1
6.7,8.27,0.64,0.5,F5IV,16.287527,1
8.86,3.13,1.52,1.011,K0III,16.33772,0
6.01,12.41,0.71,0.165,A3III-IV,16.478859,1
7.61,4.86,1.06,0.972,K0III,16.04318,0
6.23,6.13,0.57,-0.054,B8/B9III,15.167303,0
8.4,3.31,1.13,0.908,G8III,15.99914,0
8.05,6.41,0.97,0.141,A0III...,17.08429,0
8.33,15.84,0.67,0.595,G0V,19.328775,1
8.27,8.66,0.73,0.407,F0/F2V,17.95759,1
7.4,1.42,0.96,1.411,K2/K3III,13.161442,0
9.2,4.0,1.37,0.557,F4V,17.2103,1
7.47,3.99,0.92,0.002,B9.5V,15.474865,1
10.61,19.53,2.16,1.352,K7V,22.06351,1
7.74,10.01,0.91,0.667,G2/G3V,17.742168,1
9.2,5.62,1.3,0.287,F0V,17.94868,1
6.57,7.14,0.73,0.125,A3V,15.838491,1
7.66,19.82,1.32,0.568,G0V,19.14552,1
6.73,1.76,0.86,1.643,M1III:,12.957563,0
8.9,2.29,1.55,0.91,G3IV/V,15.699177,1
10.06,5.22,1.17,0.511,F3/F5V,18.648354,1
10.56,2.39,1.84,-0.009,B9IV,17.45199,1
8.01,3.16,0.94,1.0,G6III,15.508436,0
8.8,2.01,1.32,1.489,K2/K3III,15.315981,0
3.82,26.75,0.81,0.066,A1V,15.956619,1
6.88,22.39,0.87,0.448,F7V,18.63027,1
8.36,3.3,0.66,0.975,G8III/IV,15.952569,1
7.7,8.84,0.77,1.179,K2III/IV,17.432262,1
9.22,2.69,1.05,-0.023,B9V,16.368763,1
8.53,4.22,0.88,0.096,A2IV,16.656563,1
8.81,2.3,1.09,1.256,K1III,15.618639,0
10.14,17.56,1.99,0.896,K0V,21.362621,1
6.86,9.66,0.55,1.134,K2III,16.784885,0
8.17,1.65,1.0,1.141,K1II,14.25742,0
5.91,14.26,0.77,0.85,G8IIIp,16.680597,0
8.75,1.66,1.15,0.64,A3II,14.85054,0
